iter	reward-diff	reward-norm	policy-diff	lqog-lik
0	2.260986	6.731640	2.000000	-35.224897
1	13.683754	25.555391	4.898979	-37.795930
2	13.211977	27.644984	4.898979	-263.867550
3	13.526497	32.001988	4.898979	-69.777670
4	14.077219	37.570886	4.898979	-69.134563
5	19.181139	52.457920	6.782330	-74.937626
6	19.008080	55.068531	5.099020	-94.488329
7	18.808090	58.600521	5.830952	-87.384610
8	19.987800	65.414619	6.480741	-92.054997
9	21.678087	71.866064	6.164414	-81.690229
10	21.877967	75.323954	6.164414	-83.120309
11	22.024718	79.446557	6.000000	-80.609414
12	21.424175	78.014926	6.164414	-81.931319
13	20.843426	75.983958	5.830952	-75.827765
14	20.298013	74.095698	5.830952	-71.699655
15	19.777821	72.241221	5.830952	-68.096938
16	19.270699	70.774170	5.656854	-64.637052
17	18.811351	69.217725	5.477226	-60.451934
18	18.376111	67.699233	5.477226	-57.872362
19	17.973895	67.035723	5.099020	-56.430528
20	18.042817	68.203864	6.633250	-85.161709
21	17.688030	67.846201	5.291503	-56.517456
22	17.291422	66.467657	5.477226	-54.736811
23	16.909436	65.125428	5.477226	-53.051151
24	16.541501	63.828842	5.291503	-51.444250
25	16.187086	62.569226	5.291503	-49.911629
26	15.845639	61.343687	5.291503	-48.451389
27	15.516655	60.149950	5.291503	-47.060993
28	15.199660	58.986165	5.291503	-45.738591
29	14.894203	57.850797	5.291503	-44.482632
30	14.595932	56.742564	5.099020	-43.287892
31	14.309390	55.657670	5.099020	-42.045028
32	14.047830	55.053316	5.099020	-40.924602
33	13.780323	54.009538	5.291503	-39.955149
34	13.526148	53.050802	5.099020	-38.936412
35	13.281905	52.147744	5.099020	-38.162750
36	13.043007	51.332570	5.099020	-37.539933
37	12.814027	50.530236	5.099020	-36.841050
38	12.584739	49.688582	4.690416	-36.254778
39	12.363687	48.858143	4.690416	-35.510511
40	12.151254	48.003747	4.898979	-34.820301
41	11.952123	47.452145	4.472136	-34.293168
42	11.755245	46.927448	4.690416	-33.796457
43	11.560200	46.096991	4.690416	-33.276706
44	11.380299	45.634939	4.690416	-32.720602
45	11.196795	44.858455	4.898979	-32.285627
46	11.019549	44.168313	4.898979	-31.797225
47	10.851842	43.785552	4.690416	-31.450371
48	10.680150	43.135034	4.472136	-31.008518
49	10.533199	42.835795	4.242641	-30.468795
50	10.372113	42.168292	4.242641	-29.934452
51	10.217341	41.572220	4.242641	-29.472412
52	10.064336	40.847757	4.000000	-29.035217
53	9.918845	40.147417	4.242641	-28.564239
54	9.778168	39.688901	4.472136	-28.212756
55	9.642693	39.083528	4.242641	-27.891038
56	9.515859	38.925741	4.690416	-27.616388
57	9.565963	40.440159	4.898979	-38.643750
58	9.728573	42.944796	5.099020	-31.835556
59	9.571700	42.646890	4.898979	-30.445117
60	9.424629	42.308480	4.898979	-28.616699
61	9.283239	41.845714	4.690416	-27.705875
62	9.147329	41.507941	4.472136	-27.241713
63	9.013941	40.971591	4.690416	-26.743386
64	8.884517	40.459086	4.690416	-26.371066
65	8.758909	39.931897	4.690416	-26.046474
66	8.638051	39.399365	4.472136	-25.753084
67	8.520088	38.903286	4.690416	-25.528883
68	8.406144	38.328285	4.472136	-25.253598
69	8.298443	38.004128	4.690416	-25.071936
70	8.190977	37.503219	4.690416	-24.827395
71	8.087376	37.002427	4.472136	-24.602711
72	7.987112	36.579101	4.690416	-24.422930
73	7.890436	36.058384	4.472136	-24.194931
74	7.796816	35.622755	4.690416	-24.025238
75	7.706770	35.110785	4.472136	-23.845420
76	7.623687	34.875242	4.472136	-23.732527
77	7.540488	34.543447	4.242641	-23.559492
78	7.459079	34.111910	4.472136	-23.406343
79	7.380692	33.644287	4.472136	-23.257905
80	7.305098	33.203339	4.472136	-23.137251
81	7.232373	32.765412	4.472136	-23.019464
82	7.162040	32.434718	4.690416	-22.917199
83	7.094837	31.963248	4.000000	-22.795779
84	7.047821	32.323141	4.000000	-22.824388
85	6.987838	32.036228	4.000000	-22.672133
86	6.922970	31.692426	3.162278	-22.522301
87	6.871137	31.583555	3.464102	-22.412287
88	6.811450	31.260012	3.464102	-22.255078
89	6.753786	30.964760	3.162278	-22.185312
90	6.699724	30.681014	3.464102	-22.128032
91	6.644031	30.417805	2.828427	-22.078203
92	6.593099	30.069131	2.828427	-22.037507
93	6.544103	29.830236	2.449490	-21.998177
94	6.496793	29.567938	2.449490	-21.973482
95	6.451174	29.303742	2.449490	-21.963082
96	6.429422	29.786244	2.449490	-22.126465
97	6.383913	29.675879	2.449490	-22.121879
98	6.346277	29.649815	2.828427	-22.128619
99	6.299766	29.404117	2.000000	-22.063250
100	6.255448	29.264865	2.000000	-22.019202
101	6.212323	29.058311	2.000000	-21.955175
102	6.170562	28.792492	2.000000	-21.927065
103	6.130774	28.610949	1.414214	-21.920194
104	6.092798	28.460398	1.414214	-21.920369
105	6.055626	28.275164	1.414214	-21.905608
106	6.019732	28.078507	1.414214	-21.923247
107	5.985141	27.967932	1.414214	-21.941943
108	5.950268	27.867685	1.414214	-21.951589
109	5.916058	27.775751	0.000000	-21.950581
110	5.882733	27.643943	0.000000	-21.912006
111	5.850657	27.555308	0.000000	-21.920893
112	5.818924	27.402469	0.000000	-21.914125
