iter	reward-diff	reward-norm	policy-diff	lqog-lik
0	13.843423	66.113140	0.000000	-10.901693
1	13.962605	66.640661	0.000000	-10.789865
2	14.064246	67.079438	0.000000	-10.712185
3	14.154055	67.462189	0.000000	-10.647318
4	14.235189	67.805324	0.000000	-10.590748
5	14.309614	68.118481	0.000000	-10.540144
6	14.378652	68.407903	0.000000	-10.494099
7	14.443243	68.677919	0.000000	-10.451684
8	14.504083	68.931682	0.000000	-10.412246
9	14.561704	69.171573	0.000000	-10.375306
10	14.616525	69.399445	0.000000	-10.340499
11	14.668880	69.616773	0.000000	-10.307542
12	14.719045	69.824753	0.000000	-10.276207
13	14.767244	70.024376	0.000000	-10.246308
14	14.813671	70.216466	0.000000	-10.217695
15	14.858485	70.401726	0.000000	-10.190238
16	14.901827	70.580752	0.000000	-10.163830
17	14.943816	70.754063	0.000000	-10.138377
18	14.984558	70.922109	0.000000	-10.113800
19	15.024144	71.085284	0.000000	-10.090029
20	15.062656	71.243937	0.000000	-10.067003
21	15.100167	71.398376	0.000000	-10.044669
22	15.136741	71.548879	0.000000	-10.022977
23	15.172436	71.695693	0.000000	-10.001886
24	15.207305	71.839040	0.000000	-9.981357
25	15.241395	71.979122	0.000000	-9.961355
26	15.274750	72.116123	0.000000	-9.941851
27	15.307408	72.250209	0.000000	-9.922814
28	15.339406	72.381534	0.000000	-9.904221
29	15.370778	72.510236	0.000000	-9.886046
30	15.401552	72.636446	0.000000	-9.868268
31	15.431758	72.760281	0.000000	-9.850868
32	15.461421	72.881851	0.000000	-9.833827
33	15.490565	73.001259	0.000000	-9.817128
34	15.519214	73.118598	0.000000	-9.800756
35	15.547387	73.233956	0.000000	-9.784696
36	15.575104	73.347415	0.000000	-9.768935
37	15.602384	73.459053	0.000000	-9.753460
38	15.629243	73.568939	0.000000	-9.738258
39	15.655698	73.677143	0.000000	-9.723320
40	15.681762	73.783726	0.000000	-9.708635
41	15.707451	73.888748	0.000000	-9.694193
42	15.732778	73.992265	0.000000	-9.679985
43	15.757755	74.094329	0.000000	-9.666003
44	15.782395	74.194990	0.000000	-9.652238
45	15.806707	74.294295	0.000000	-9.638683
46	15.830704	74.392289	0.000000	-9.625330
47	15.854394	74.489014	0.000000	-9.612174
48	15.877788	74.584509	0.000000	-9.599207
49	15.900895	74.678813	0.000000	-9.586423
50	15.923723	74.771962	0.000000	-9.573816
51	15.946280	74.863990	0.000000	-9.561381
52	15.968575	74.954929	0.000000	-9.549114
53	15.990615	75.044812	0.000000	-9.537007
54	16.012406	75.133668	0.000000	-9.525058
55	16.033956	75.221524	0.000000	-9.513261
56	16.055271	75.308409	0.000000	-9.501612
57	16.076358	75.394349	0.000000	-9.490107
58	16.097221	75.479367	0.000000	-9.478743
