iter	reward-diff	reward-norm	policy-diff	lqog-lik
0	26.445832	118.057967	0.000000	-5.349920
1	26.529017	118.418973	0.000000	-5.319471
2	26.600706	118.725473	0.000000	-5.295011
3	26.664562	118.995988	0.000000	-5.274055
4	26.722643	119.240525	0.000000	-5.255472
5	26.776239	119.465192	0.000000	-5.238632
6	26.826223	119.674035	0.000000	-5.223143
7	26.873216	119.869893	0.000000	-5.208740
8	26.917681	120.054850	0.000000	-5.195237
9	26.959972	120.230485	0.000000	-5.182492
10	27.000368	120.398032	0.000000	-5.170400
11	27.039092	120.558472	0.000000	-5.158876
12	27.076328	120.712605	0.000000	-5.147854
13	27.112227	120.861091	0.000000	-5.137277
14	27.146917	121.004481	0.000000	-5.127101
15	27.180507	121.143243	0.000000	-5.117286
16	27.213091	121.277778	0.000000	-5.107801
17	27.244748	121.408431	0.000000	-5.098616
18	27.275551	121.535503	0.000000	-5.089708
19	27.305560	121.659258	0.000000	-5.081056
20	27.334831	121.779929	0.000000	-5.072641
21	27.363412	121.897724	0.000000	-5.064446
22	27.391349	122.012827	0.000000	-5.056457
23	27.418678	122.125403	0.000000	-5.048661
24	27.445437	122.235604	0.000000	-5.041045
25	27.471657	122.343563	0.000000	-5.033599
26	27.497368	122.449404	0.000000	-5.026315
27	27.522596	122.553239	0.000000	-5.019181
28	27.547366	122.655171	0.000000	-5.012192
29	27.571700	122.755293	0.000000	-5.005339
30	27.595619	122.853693	0.000000	-4.998615
31	27.619142	122.950450	0.000000	-4.992015
32	27.642287	123.045639	0.000000	-4.985533
33	27.665070	123.139327	0.000000	-4.979163
34	27.687507	123.231580	0.000000	-4.972901
35	27.709610	123.322455	0.000000	-4.966741
36	27.731395	123.412009	0.000000	-4.960681
37	27.752874	123.500293	0.000000	-4.954715
38	27.774057	123.587356	0.000000	-4.948840
39	27.794956	123.673243	0.000000	-4.943052
40	27.815581	123.757997	0.000000	-4.937349
41	27.835942	123.841658	0.000000	-4.931726
42	27.856048	123.924265	0.000000	-4.926183
43	27.875908	124.005852	0.000000	-4.920714
44	27.895529	124.086454	0.000000	-4.915319
45	27.914920	124.166103	0.000000	-4.909994
46	27.934088	124.244829	0.000000	-4.904737
47	27.953039	124.322661	0.000000	-4.899547
48	27.971780	124.399626	0.000000	-4.894420
49	27.990318	124.475750	0.000000	-4.889355
50	28.008657	124.551057	0.000000	-4.884351
51	28.026806	124.625571	0.000000	-4.879405
52	28.044767	124.699315	0.000000	-4.874515
53	28.062547	124.772310	0.000000	-4.869681
54	28.080150	124.844577	0.000000	-4.864900
55	28.097582	124.916133	0.000000	-4.860171
56	28.114847	124.987000	0.000000	-4.855493
57	28.131948	125.057193	0.000000	-4.850864
58	28.148890	125.126731	0.000000	-4.846284
59	28.165678	125.195630	0.000000	-4.841750
60	28.182314	125.263905	0.000000	-4.837261
61	28.198803	125.331571	0.000000	-4.832818
62	28.215148	125.398644	0.000000	-4.828417
63	28.231352	125.465136	0.000000	-4.824059
64	28.247419	125.531062	0.000000	-4.819742
65	28.263352	125.596434	0.000000	-4.815466
66	28.279153	125.661265	0.000000	-4.811229
67	28.294826	125.725566	0.000000	-4.807031
68	28.310374	125.789349	0.000000	-4.802870
69	28.325798	125.852626	0.000000	-4.798747
70	28.341102	125.915406	0.000000	-4.794659
71	28.356288	125.977701	0.000000	-4.790607
72	28.371359	126.039520	0.000000	-4.786589
73	28.386317	126.100873	0.000000	-4.782605
74	28.401164	126.161770	0.000000	-4.778655
75	28.415903	126.222219	0.000000	-4.774736
76	28.430534	126.282229	0.000000	-4.770850
77	28.445062	126.341808	0.000000	-4.766995
78	28.459487	126.400966	0.000000	-4.763170
79	28.473811	126.459709	0.000000	-4.759376
80	28.488037	126.518045	0.000000	-4.755610
81	28.502166	126.575982	0.000000	-4.751874
82	28.516200	126.633528	0.000000	-4.748166
83	28.530140	126.690689	0.000000	-4.744486
84	28.543988	126.747471	0.000000	-4.740833
85	28.557747	126.803883	0.000000	-4.737207
86	28.571416	126.859929	0.000000	-4.733607
87	28.584999	126.915617	0.000000	-4.730034
88	28.598496	126.970952	0.000000	-4.726485
89	28.611909	127.025940	0.000000	-4.722962
90	28.625239	127.080587	0.000000	-4.719463
91	28.638487	127.134899	0.000000	-4.715988
92	28.651656	127.188881	0.000000	-4.712538
93	28.664745	127.242539	0.000000	-4.709110
94	28.677757	127.295877	0.000000	-4.705705
95	28.690693	127.348900	0.000000	-4.702323
96	28.703553	127.401614	0.000000	-4.698964
97	28.716340	127.454023	0.000000	-4.695626
98	28.729053	127.506132	0.000000	-4.692310
99	28.741695	127.557946	0.000000	-4.689015
100	28.754265	127.609468	0.000000	-4.685741
101	28.766766	127.660703	0.000000	-4.682487
102	28.779199	127.711656	0.000000	-4.679254
103	28.791564	127.762330	0.000000	-4.676040
104	28.803862	127.812730	0.000000	-4.672847
105	28.816094	127.862859	0.000000	-4.669673
106	28.828261	127.912721	0.000000	-4.666517
107	28.840365	127.962320	0.000000	-4.663381
108	28.852405	128.011660	0.000000	-4.660263
109	28.864384	128.060743	0.000000	-4.657164
110	28.876301	128.109575	0.000000	-4.654082
111	28.888157	128.158157	0.000000	-4.651019
112	28.899954	128.206494	0.000000	-4.647973
113	28.911691	128.254589	0.000000	-4.644944
114	28.923371	128.302444	0.000000	-4.641932
115	28.934993	128.350063	0.000000	-4.638937
116	28.946559	128.397449	0.000000	-4.635959
117	28.958069	128.444606	0.000000	-4.632997
118	28.969523	128.491535	0.000000	-4.630052
119	28.980923	128.538240	0.000000	-4.627122
120	28.992269	128.584723	0.000000	-4.624208
121	29.003562	128.630988	0.000000	-4.621310
122	29.014802	128.677037	0.000000	-4.618427
123	29.025991	128.722872	0.000000	-4.615559
124	29.037128	128.768497	0.000000	-4.612706
125	29.048215	128.813914	0.000000	-4.609869
126	29.059252	128.859125	0.000000	-4.607045
127	29.070239	128.904132	0.000000	-4.604236
128	29.081177	128.948939	0.000000	-4.601442
129	29.092067	128.993547	0.000000	-4.598661
130	29.102910	129.037959	0.000000	-4.595895
131	29.113705	129.082177	0.000000	-4.593142
132	29.124453	129.126203	0.000000	-4.590403
133	29.135156	129.170040	0.000000	-4.587677
134	29.145812	129.213689	0.000000	-4.584965
135	29.156424	129.257152	0.000000	-4.582265
136	29.166991	129.300432	0.000000	-4.579579
137	29.177514	129.343531	0.000000	-4.576906
138	29.187993	129.386451	0.000000	-4.574245
139	29.198430	129.429193	0.000000	-4.571597
140	29.208823	129.471760	0.000000	-4.568961
141	29.219174	129.514153	0.000000	-4.566337
142	29.229484	129.556374	0.000000	-4.563726
143	29.239752	129.598426	0.000000	-4.561127
144	29.249979	129.640309	0.000000	-4.558539
145	29.260166	129.682026	0.000000	-4.555964
146	29.270312	129.723578	0.000000	-4.553400
147	29.280419	129.764967	0.000000	-4.550847
148	29.290487	129.806194	0.000000	-4.548306
149	29.300516	129.847262	0.000000	-4.545776
150	29.310506	129.888172	0.000000	-4.543258
151	29.320458	129.928925	0.000000	-4.540750
152	29.330373	129.969524	0.000000	-4.538253
153	29.340250	130.009968	0.000000	-4.535767
154	29.350090	130.050261	0.000000	-4.533292
155	29.359894	130.090404	0.000000	-4.530828
156	29.369661	130.130397	0.000000	-4.528374
157	29.379392	130.170243	0.000000	-4.525930
158	29.389088	130.209943	0.000000	-4.523496
159	29.398749	130.249498	0.000000	-4.521073
160	29.408374	130.288909	0.000000	-4.518660
161	29.417965	130.328179	0.000000	-4.516257
162	29.427522	130.367307	0.000000	-4.513864
163	29.437045	130.406297	0.000000	-4.511480
164	29.446534	130.445148	0.000000	-4.509107
165	29.455990	130.483862	0.000000	-4.506743
166	29.465413	130.522441	0.000000	-4.504388
167	29.474804	130.560885	0.000000	-4.502043
168	29.484161	130.599196	0.000000	-4.499707
169	29.493487	130.637375	0.000000	-4.497381
170	29.502781	130.675424	0.000000	-4.495063
171	29.512043	130.713342	0.000000	-4.492755
172	29.521274	130.751133	0.000000	-4.490456
173	29.530474	130.788795	0.000000	-4.488165
174	29.539643	130.826332	0.000000	-4.485884
175	29.548782	130.863743	0.000000	-4.483611
176	29.557891	130.901030	0.000000	-4.481347
177	29.566969	130.938194	0.000000	-4.479092
178	29.576018	130.975236	0.000000	-4.476845
179	29.585037	131.012157	0.000000	-4.474607
180	29.594028	131.048958	0.000000	-4.472377
181	29.602989	131.085641	0.000000	-4.470155
182	29.611921	131.122205	0.000000	-4.467942
183	29.620825	131.158652	0.000000	-4.465737
184	29.629701	131.194983	0.000000	-4.463540
185	29.638549	131.231200	0.000000	-4.461350
186	29.647369	131.267302	0.000000	-4.459169
187	29.656161	131.303291	0.000000	-4.456996
188	29.664926	131.339167	0.000000	-4.454831
189	29.673664	131.374932	0.000000	-4.452673
190	29.682375	131.410587	0.000000	-4.450523
191	29.691059	131.446132	0.000000	-4.448381
192	29.699717	131.481568	0.000000	-4.446247
193	29.708349	131.516897	0.000000	-4.444120
194	29.716954	131.552118	0.000000	-4.442000
195	29.725534	131.587233	0.000000	-4.439888
196	29.734088	131.622243	0.000000	-4.437783
197	29.742616	131.657148	0.000000	-4.435685
198	29.751119	131.691950	0.000000	-4.433595
199	29.759598	131.726648	0.000000	-4.431512
200	29.768051	131.761244	0.000000	-4.429436
201	29.776479	131.795739	0.000000	-4.427367
202	29.784883	131.830133	0.000000	-4.425304
203	29.793263	131.864427	0.000000	-4.423249
204	29.801618	131.898622	0.000000	-4.421201
205	29.809950	131.932719	0.000000	-4.419160
206	29.818257	131.966718	0.000000	-4.417125
207	29.826542	132.000619	0.000000	-4.415098
208	29.834802	132.034425	0.000000	-4.413076
209	29.843039	132.068135	0.000000	-4.411062
210	29.851254	132.101750	0.000000	-4.409054
211	29.859445	132.135271	0.000000	-4.407053
212	29.867613	132.168698	0.000000	-4.405058
213	29.875759	132.202033	0.000000	-4.403070
214	29.883883	132.235275	0.000000	-4.401088
215	29.891984	132.268426	0.000000	-4.399112
216	29.900063	132.301486	0.000000	-4.397142
217	29.908120	132.334455	0.000000	-4.395179
218	29.916155	132.367335	0.000000	-4.393222
219	29.924168	132.400126	0.000000	-4.391272
220	29.932160	132.432828	0.000000	-4.389327
221	29.940130	132.465443	0.000000	-4.387389
222	29.948080	132.497970	0.000000	-4.385456
223	29.956008	132.530411	0.000000	-4.383530
224	29.963915	132.562766	0.000000	-4.381609
225	29.971801	132.595036	0.000000	-4.379695
226	29.979667	132.627220	0.000000	-4.377786
227	29.987512	132.659321	0.000000	-4.375883
228	29.995337	132.691337	0.000000	-4.373986
229	30.003141	132.723271	0.000000	-4.372094
230	30.010926	132.755121	0.000000	-4.370209
231	30.018690	132.786890	0.000000	-4.368329
232	30.026435	132.818577	0.000000	-4.366454
233	30.034159	132.850184	0.000000	-4.364585
234	30.041864	132.881709	0.000000	-4.362722
235	30.049550	132.913155	0.000000	-4.360864
236	30.057216	132.944522	0.000000	-4.359012
237	30.064864	132.975809	0.000000	-4.357165
238	30.072491	133.007018	0.000000	-4.355324
239	30.080100	133.038150	0.000000	-4.353488
240	30.087691	133.069203	0.000000	-4.351657
241	30.095262	133.100180	0.000000	-4.349832
242	30.102815	133.131081	0.000000	-4.348012
243	30.110349	133.161905	0.000000	-4.346197
244	30.117865	133.192654	0.000000	-4.344387
245	30.125362	133.223328	0.000000	-4.342583
246	30.132842	133.253927	0.000000	-4.340783
247	30.140303	133.284453	0.000000	-4.338989
248	30.147746	133.314904	0.000000	-4.337200
249	30.155172	133.345283	0.000000	-4.335416
250	30.162580	133.375588	0.000000	-4.333636
251	30.169970	133.405822	0.000000	-4.331862
252	30.177343	133.435984	0.000000	-4.330093
253	30.184698	133.466074	0.000000	-4.328329
254	30.192036	133.496093	0.000000	-4.326569
255	30.199357	133.526042	0.000000	-4.324815
256	30.206660	133.555920	0.000000	-4.323065
257	30.213947	133.585729	0.000000	-4.321320
258	30.221217	133.615468	0.000000	-4.319579
259	30.228470	133.645139	0.000000	-4.317844
260	30.235706	133.674741	0.000000	-4.316113
261	30.242926	133.704275	0.000000	-4.314387
262	30.250129	133.733741	0.000000	-4.312665
263	30.257316	133.763140	0.000000	-4.310948
264	30.264486	133.792472	0.000000	-4.309236
265	30.271640	133.821737	0.000000	-4.307528
266	30.278778	133.850936	0.000000	-4.305825
267	30.285900	133.880070	0.000000	-4.304126
268	30.293007	133.909138	0.000000	-4.302432
269	30.300097	133.938141	0.000000	-4.300742
270	30.307171	133.967080	0.000000	-4.299057
271	30.314230	133.995954	0.000000	-4.297376
272	30.321274	134.024764	0.000000	-4.295700
273	30.328301	134.053511	0.000000	-4.294027
274	30.335314	134.082194	0.000000	-4.292359
275	30.342311	134.110815	0.000000	-4.290696
276	30.349292	134.139373	0.000000	-4.289036
277	30.356259	134.167868	0.000000	-4.287381
278	30.363211	134.196302	0.000000	-4.285731
279	30.370147	134.224675	0.000000	-4.284084
280	30.377069	134.252986	0.000000	-4.282441
281	30.383976	134.281237	0.000000	-4.280803
282	30.390868	134.309427	0.000000	-4.279169
283	30.397745	134.337557	0.000000	-4.277539
284	30.404608	134.365627	0.000000	-4.275913
285	30.411456	134.393637	0.000000	-4.274291
286	30.418290	134.421589	0.000000	-4.272673
287	30.425109	134.449481	0.000000	-4.271059
288	30.431915	134.477315	0.000000	-4.269449
289	30.438706	134.505090	0.000000	-4.267843
290	30.445482	134.532808	0.000000	-4.266241
291	30.452245	134.560468	0.000000	-4.264643
292	30.458994	134.588071	0.000000	-4.263049
293	30.465729	134.615616	0.000000	-4.261459
294	30.472450	134.643105	0.000000	-4.259873
295	30.479157	134.670537	0.000000	-4.258290
296	30.485851	134.697913	0.000000	-4.256711
297	30.492531	134.725234	0.000000	-4.255137
298	30.499197	134.752499	0.000000	-4.253565
299	30.505850	134.779708	0.000000	-4.251998
300	30.512490	134.806862	0.000000	-4.250435
301	30.519116	134.833962	0.000000	-4.248875
302	30.525729	134.861007	0.000000	-4.247318
303	30.532329	134.887998	0.000000	-4.245766
304	30.538915	134.914935	0.000000	-4.244217
305	30.545489	134.941819	0.000000	-4.242672
306	30.552049	134.968649	0.000000	-4.241130
307	30.558597	134.995426	0.000000	-4.239592
308	30.565131	135.022150	0.000000	-4.238058
309	30.571653	135.048822	0.000000	-4.236527
310	30.578162	135.075441	0.000000	-4.235000
311	30.584658	135.102008	0.000000	-4.233476
312	30.591142	135.128523	0.000000	-4.231956
313	30.597613	135.154987	0.000000	-4.230440
314	30.604072	135.181400	0.000000	-4.228926
315	30.610518	135.207761	0.000000	-4.227417
316	30.616952	135.234072	0.000000	-4.225910
317	30.623373	135.260332	0.000000	-4.224407
318	30.629782	135.286542	0.000000	-4.222908
319	30.636179	135.312701	0.000000	-4.221412
320	30.642564	135.338811	0.000000	-4.219919
321	30.648937	135.364871	0.000000	-4.218430
322	30.655298	135.390882	0.000000	-4.216944
323	30.661646	135.416844	0.000000	-4.215461
324	30.667983	135.442757	0.000000	-4.213982
325	30.674308	135.468621	0.000000	-4.212506
326	30.680621	135.494437	0.000000	-4.211033
327	30.686922	135.520205	0.000000	-4.209563
328	30.693212	135.545924	0.000000	-4.208097
329	30.699490	135.571596	0.000000	-4.206634
330	30.705756	135.597221	0.000000	-4.205174
331	30.712011	135.622798	0.000000	-4.203718
332	30.718255	135.648328	0.000000	-4.202264
333	30.724486	135.673811	0.000000	-4.200814
334	30.730707	135.699247	0.000000	-4.199367
335	30.736916	135.724637	0.000000	-4.197923
336	30.743114	135.749981	0.000000	-4.196482
337	30.749301	135.775279	0.000000	-4.195044
338	30.755476	135.800531	0.000000	-4.193609
339	30.761641	135.825737	0.000000	-4.192178
340	30.767794	135.850898	0.000000	-4.190749
341	30.773936	135.876014	0.000000	-4.189324
342	30.780068	135.901084	0.000000	-4.187901
343	30.786188	135.926110	0.000000	-4.186482
344	30.792298	135.951092	0.000000	-4.185066
345	30.798397	135.976029	0.000000	-4.183652
346	30.804484	136.000922	0.000000	-4.182242
347	30.810562	136.025770	0.000000	-4.180834
348	30.816628	136.050575	0.000000	-4.179430
349	30.822684	136.075337	0.000000	-4.178028
350	30.828729	136.100055	0.000000	-4.176629
351	30.834764	136.124729	0.000000	-4.175234
352	30.840788	136.149361	0.000000	-4.173841
353	30.846802	136.173950	0.000000	-4.172451
354	30.852805	136.198496	0.000000	-4.171064
355	30.858799	136.223000	0.000000	-4.169679
356	30.864781	136.247461	0.000000	-4.168298
357	30.870754	136.271880	0.000000	-4.166919
358	30.876716	136.296258	0.000000	-4.165544
359	30.882668	136.320593	0.000000	-4.164171
360	30.888610	136.344887	0.000000	-4.162800
361	30.894541	136.369140	0.000000	-4.161433
362	30.900463	136.393351	0.000000	-4.160068
363	30.906375	136.417522	0.000000	-4.158707
